Timestamp,BATTERY_HEALTH_COLD,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_LEVEL
1701263698395,-2147483648,-899901,18
1701263698499,-2147483648,-858397,18
1701263698601,-2147483648,-858397,18
1701263698704,-2147483648,-858397,18
1701263698807,-2147483648,-858397,18
1701263698911,-2147483648,-858397,18
1701263699015,-2147483648,-858397,18
1701263699118,-2147483648,-858397,18
1701263699222,-2147483648,-858397,18
1701263699325,-2147483648,-858397,18
1701263699427,-2147483648,-858397,18
1701263699532,-2147483648,-871581,18
1701263699635,-2147483648,-871581,18
1701263699739,-2147483648,-871581,18
1701263699841,-2147483648,-871581,18
1701263699944,-2147483648,-871581,18
1701263700047,-2147483648,-871581,18
1701263700154,-2147483648,-871581,18
1701263700257,-2147483648,-871581,18
1701263700359,-2147483648,-871581,18
1701263700462,-2147483648,-871581,18
1701263700565,-2147483648,-845214,18
1701263700669,-2147483648,-845214,18
1701263700773,-2147483648,-845214,18
1701263700876,-2147483648,-845214,18
1701263700979,-2147483648,-845214,18
1701263701082,-2147483648,-845214,18
1701263701186,-2147483648,-845214,18
1701263701289,-2147483648,-845214,18
1701263701393,-2147483648,-845214,18
1701263701495,-2147483648,-879882,18
1701263701598,-2147483648,-879882,18
1701263701702,-2147483648,-879882,18
1701263701804,-2147483648,-879882,18
1701263701907,-2147483648,-879882,18
1701263702011,-2147483648,-879882,18
1701263702114,-2147483648,-879882,18
1701263702218,-2147483648,-879882,18
1701263702320,-2147483648,-879882,18
1701263702424,-2147483648,-879882,18
1701263702527,-2147483648,-896483,18
1701263702631,-2147483648,-896483,18
1701263702735,-2147483648,-896483,18
1701263702837,-2147483648,-896483,18
1701263702941,-2147483648,-896483,18
1701263703043,-2147483648,-896483,18
1701263703146,-2147483648,-896483,18
1701263703250,-2147483648,-896483,18
1701263703353,-2147483648,-896483,18
1701263703456,-2147483648,-896483,18
1701263703560,-2147483648,-878905,18
1701263703663,-2147483648,-878905,18
1701263703766,-2147483648,-878905,18
1701263703868,-2147483648,-878905,18
1701263703973,-2147483648,-878905,18
1701263704076,-2147483648,-878905,18
1701263704180,-2147483648,-878905,18
1701263704282,-2147483648,-878905,18
1701263704385,-2147483648,-878905,18
1701263704488,-2147483648,-856933,18
1701263704592,-2147483648,-856933,18
1701263704696,-2147483648,-856933,18
1701263704799,-2147483648,-856933,18
1701263704903,-2147483648,-856933,18
1701263705005,-2147483648,-856933,18
1701263705108,-2147483648,-856933,18
1701263705212,-2147483648,-856933,18
1701263705315,-2147483648,-856933,18
1701263705419,-2147483648,-856933,18
1701263705522,-2147483648,-929198,18
1701263705625,-2147483648,-929198,18
1701263705731,-2147483648,-929198,18
1701263705835,-2147483648,-929198,18
1701263705938,-2147483648,-929198,18
1701263706041,-2147483648,-929198,18
1701263706145,-2147483648,-929198,18
1701263706247,-2147483648,-929198,18
1701263706356,-2147483648,-929198,18
1701263706459,-2147483648,-878905,18
1701263706562,-2147483648,-878905,18
1701263706664,-2147483648,-878905,18
1701263706770,-2147483648,-878905,18
1701263706873,-2147483648,-878905,18
1701263706976,-2147483648,-878905,18
1701263707080,-2147483648,-878905,18
1701263707182,-2147483648,-878905,18
1701263707285,-2147483648,-878905,18
1701263707387,-2147483648,-878905,18
1701263707493,-2147483648,-862792,18
1701263707595,-2147483648,-862792,18
1701263707699,-2147483648,-862792,18
1701263707801,-2147483648,-862792,18
1701263707904,-2147483648,-862792,18
1701263708008,-2147483648,-862792,18
1701263708112,-2147483648,-862792,18
1701263708216,-2147483648,-862792,18
1701263708319,-2147483648,-862792,18
1701263708422,-2147483648,-862792,18
1701263708526,-2147483648,-888183,18
1701263708628,-2147483648,-888183,18
1701263708733,-2147483648,-888183,18
1701263708836,-2147483648,-888183,18
1701263708940,-2147483648,-888183,18
1701263709042,-2147483648,-888183,18
1701263709145,-2147483648,-888183,18
1701263709249,-2147483648,-888183,18
1701263709353,-2147483648,-888183,18
1701263709457,-2147483648,-924804,18
1701263709560,-2147483648,-924804,18
1701263709663,-2147483648,-924804,18
1701263709766,-2147483648,-924804,18
1701263709869,-2147483648,-924804,18
1701263709973,-2147483648,-924804,18
1701263710076,-2147483648,-924804,18
1701263710181,-2147483648,-924804,18
1701263710283,-2147483648,-924804,18
1701263710386,-2147483648,-924804,18
1701263710490,-2147483648,-935058,18
1701263710593,-2147483648,-935058,18
1701263710696,-2147483648,-935058,18
1701263710799,-2147483648,-935058,18
1701263710903,-2147483648,-935058,18
1701263711005,-2147483648,-935058,18
1701263711108,-2147483648,-935058,18
1701263711212,-2147483648,-935058,18
1701263711315,-2147483648,-935058,18
1701263711419,-2147483648,-935058,18
1701263711522,-2147483648,-905761,18
1701263711625,-2147483648,-905761,18
1701263711728,-2147483648,-905761,18
1701263711833,-2147483648,-905761,18
1701263711936,-2147483648,-905761,18
1701263712039,-2147483648,-905761,18
1701263712143,-2147483648,-905761,18
1701263712246,-2147483648,-905761,18
1701263712349,-2147483648,-905761,18
1701263712452,-2147483648,-897460,18
1701263712555,-2147483648,-897460,18
1701263712658,-2147483648,-897460,18
1701263712763,-2147483648,-897460,18
1701263712866,-2147483648,-897460,18
1701263712969,-2147483648,-897460,18
1701263713074,-2147483648,-897460,18
1701263713176,-2147483648,-897460,18
1701263713279,-2147483648,-897460,18
1701263713383,-2147483648,-897460,18
1701263713486,-2147483648,-886230,18
1701263713589,-2147483648,-886230,18
1701263713692,-2147483648,-886230,18
1701263713796,-2147483648,-886230,18
1701263713899,-2147483648,-886230,18
1701263714001,-2147483648,-886230,18
1701263714105,-2147483648,-886230,18
1701263714208,-2147483648,-886230,18
1701263714310,-2147483648,-886230,18
1701263714414,-2147483648,-886230,18
1701263714517,-2147483648,-865233,18
1701263714620,-2147483648,-865233,18
1701263714723,-2147483648,-865233,18
1701263714825,-2147483648,-865233,18
1701263714929,-2147483648,-865233,18
1701263715032,-2147483648,-865233,18
1701263715136,-2147483648,-865233,18
1701263715247,-2147483648,-865233,18
1701263715349,-2147483648,-865233,18
